title,url,description,city
Senior Backend Engineer (Custom Models team),https://jobs.dou.ua/companies/datarobot/vacancies/269927/?from=list_hot,"DataRobot is the leader in Value-Driven AI, a unique and collaborative approach to generative and predictive AI that combines an open platform, deep expertise and broad use-case experience to improve how organizations run, grow and optimize their business. The DataRobot AI Platform is the only complete AI lifecycle platform that interoperates with an organization’s existing investments in data, applications and business processes, and can be deployed on prem or on any cloud environment. Global organizations, including 40% of the Fortune 50, rely on DataRobot to drive greater impact and value from AI.Custom Models domain is a team, focused on developing one of the key components of the DataRobot MLOps platform, backed by Kubernetes. We’re building a toolset to run user-supplied ML models and arbitrary code fully equipped with MLOps features: data drift, accuracy tracking, retraining and so on. We are looking for a Senior Software Engineer to join us and accelerate building top solutions for our platform. Key Responsibilities:Partners with Product Managers and Data Scientists to determine process and execute on designing and implementing new features, and shiping end-to-end to both Cloud and Enterprise. Design and build application-level software working with Kubernetes Infrastructure and containers.Partners with the DevOps and Security team to build Enterprise installation and documentation.Lead projects, communicate requirements and scope. Design, build and document extendable REST APIs using Python Flask and OpenAPI schema.Maintain and improve the existing codebase.Troubleshooting complex production environments at the application and DB level.Evaluate and validate code with tests. Knowledge, Skills and Abilities:7+ years of professional software developmentStrong Python knowledgeUnderstanding of networkingBuilding containerized applicationsAbility to plan and lead projects from start to finish and explain your design decisionsGreat communication skills: ability to work in teams, share knowledge and write documentation.Computer science fundamentals, basic understanding of algorithms and time complexity.Ability to write quality integration/functional tests.Nice to have:Bachelor’s degree in relevant fieldKubernetes fundamentals, developer-level experience.Experience with Docker.Experience with AWS/Azure/GCP.DevOps fundamentals, scripting.Building CI/CD pipelines using Jenkins.Our benefits include, but not limited to: — medical insurance (for you and your +1)— unlimited vacation policy— quarterly company-wide day off for self care— flexible working hours and remote policy— paid parental leave— mental health support services— sport compensation— learning budget— IT equipment","Київ, Львів, Хмельницький, віддалено"
Senior/Tech Lead Python + React.js Developer,https://jobs.dou.ua/companies/artelogic/vacancies/273383/,"We are seeking a Senior/Tech Lead Python + React.js Developer to join our dynamic team and help us build cutting-edge solutions that redefine the industry standard. As a Senior/Tech Lead Python + React.js Developer, you will play a pivotal role in architecting, developing, and maintaining high-quality web applications. Your expertise in Python and React.js will be crucial in driving our project forward and setting the technical direction for the team.ResponsibilitiesLead the development of web applications using Python and React.js, ensuring high performance, quality, and responsivenessArchitect and design scalable solutions that meet business and technical requirementsCollaborate with cross-functional teams, including product managers, designers, and other stakeholders, to deliver high-quality productsWrite clean, maintainable, and efficient code, following best practices and industry standardsConduct code reviews and provide constructive feedback to team membersStay up-to-date with emerging technologies and industry trends, incorporating them into our development processes as appropriateTroubleshoot and debug complex issues, ensuring timely resolution and minimal impact on project timelinesContribute to the continuous improvement of our development processes and workflowsRequirementsProgramming Skills: Proficiency in Python, JavaScript/TypeScript, React, HTML, and CSS. Beyond plain language skills we expect understanding of the tech ecosystems, best practices and the usual tools. Additional knowledge of C/C++ and Java is advantageousInfrastructure: Working knowledge of Linux & Windows, Docker, and KubernetesDatabases/Persistence: Experience with SQL databases (Postgres, Oracle, SQL Server), Apache Solr, and optionally dense vector storesTest Automation: Proficiency with testing practices and tools such as pytest and PlaywrightSoftware Quality: Experience in performance assessments & measurements, build automation, packaging, security, and other software quality aspectsEducation and Experience: A degree in Computer Science, Software Engineering, or an equivalent fieldTechnical Writing: Ability to write technical documentation specifically for developers is highly desirableEnterprise Software: Our extensive enterprise software platform, Contact Elements, requires learning its architecture and paradigms on the jobWhat We Offer18 days of paid vacation and 7 paid sick leavesFlexible working hoursPossibility to work remotelyRegular team buildings and company-wide tripsCorporate lessons of English Support in preparation, as well as full reimbursement of professional certificationsPossibility to become a mentor in our corporate universityHighly transparent processes towards compensation reviews and promotionsExposure to a rapidly growing, dynamic, and uniquely global industryBecoming part of the team that has been multiple times recognized among Top Software Development Companies according to Clutch","Львів, за кордоном, віддалено"
Senior Full Stack React/ Django Developer,https://jobs.dou.ua/companies/delphi-llc/vacancies/263991/,"Join us, the solution of Virtual Edge unifies multiple Edges into one platform by creating a virtual environment that integrates all your existing CDN platforms. Looking for a Full Stack Developer specializing in web-based graphical user interfaces, data visualization, and backend logic.We are looking for a Full Stack Developer who will join our international team with an office in Kyiv.RESPONSIBILITIESLead the architectural design and planning phases of web applications using React.js and DjangoCreate, design, and implement develop complex full-stack applications, enhancing existing functionalityImplement responsive and user-friendly interfaces that enhance user experienceWork closely with the client to understand requirements and translate them into technical solutions. Have strong analytical and problem-solving abilitiesConduct code reviews to ensure adherence to coding standards, best practices, and design patternsSKILLSBachelor’s degree (or equivalent) in Computer Science, Engineering, or a related field.At least 5 years of experience with Django and React frameworksProficiency in front-end technologies such as HTML5, CSS3, TypeScript, JavaScript, and related libraries (e.g., Redux)Proficiency in back-end technologies including Python and DjangoExperience with cloud platforms, such as AWS, GCP, AzureStrong knowledge in architectural design, design patterns, design anti-patternsWE OFFERWork in a creative friendly environment using cutting-edge technologiesWork-life balance and flexible scheduleCompetitive compensation with focus on your expectations; annual salary review24-daypaid vacation and 100% paid sick leaveFinancial support and legal support for individual entrepreneurs from our sideProfessional, language and soft skills trainingsHealth insurance coverage: individual and family, fitness plan","Київ, віддалено"
Python-розробник,https://jobs.dou.ua/companies/horeker/vacancies/273282/,"HOREKER. Ідеальне рішення для ресторанів від розробників з експертністю більш ніж 14 роківМи не з чуток знаємо, що таке товарний та фінансовий облік, управління лояльністю клієнтів та організація виробництва. Наш перший програмний продукт Chameleon POS був створений для роздрібної торгівлі, яке наразі використовують понад 6000 торгових точок.Об’єднавши знання про товарний облік та нюанси роботи у ресторанному бізнесі, ми створили Horeker.Horeker поєднав у собі зручне робоче місце офіцінта, повноцінну товарооблікову програму, функціонал для керування лояльністю гостей, пРРО, банківський еквайринг для безготівкових платежів. Все, що потрібно для ведення та оперативного контролю бізнесу.Наше завдання зробити так, щоб підприємцям було легко працювати та керувати своїм бізнесом, дотримуючись вимог податкового законодавства та оптимізуючи витрати. Займайтеся улюбленою справою, збільшуйте прибуток та звільняйте ресурси для зростання.Вимоги:Знання та досвід роботи з Python, від 1 року;Важливо: досвід роботи з SQL та реляційними базами даних (PostgreSQL);Вміння працювати з Linux;Базові знання принципів OOP та патернів проектування;Навички роботи із системами контролю версій (GIT);Вміння працювати з чужим кодом;Навички користування штучним інтелектом;Знання англійської мови на рівні читання технічної документації;Буде плюсом:Досвід роботи з Docker;Базові знання js (vue), php (laravel)Умови роботи:Пн-Пт з 9.00 до 18.00; віддалена робота можлива.Оплачуваний випробувальний термін, офіс в 10 хвилинах від метро Берестейська.",віддалено
Senior Python Developer,https://jobs.dou.ua/companies/next-technology-professionals/vacancies/273168/,"For our client we are looking for candidates for the position:Senior Python Developer — 100% remotelyProject: A Dutch company in the tourism industry with over 20 years of presence on the market.Technology stack: Python 3.1, Asyncio, aiohttp, FastAPI, PostgreSQL, MongoDB, Docker/Kubernetes, AWS. Team: 4 Python Developers.Work methodology: Scrum.Cooperation model: 100% remotely.Availability: we accept 1 month notice period. 
We require: Minimum of 5+ years of commercial experience working with Python.Experience in working with asynchronous Python (asyncio, aiohttp).Excellent knowledge of relational databases — preferably PostgreSQL.Perfect knowledge of English — minimum B2.Experience working with Docker/Kubernetes preferred.
We offer: Employment directly with the client based on a B2B contract. Additionally, 30 paid days without work.Flexible working hours and the ability to choose between office, remote, or a mix of both.Non-wage benefits: medical insurance, English courses, conferences, workshops, and certification refund.A lab day once a month to dedicate to a project of your own or a study project.Opportunities for career growth.",віддалено
Odoo Developer,https://jobs.dou.ua/companies/i-techs/vacancies/273306/,"IT Craft запрошує Odoo розробника приєднатися до нашої команди. Ми шукаємо самостійного, здатного швидко навчатися та надійного спеціаліста для роботи з чудовою командою кваліфікованих спеціалістів.Обов’язки:Розробка та проектування інтегрованих Odoo додатків з використанням відповідних стандартів розробки та дизайну;Розробка кастомних рішень для нашого клієнта;Аналіз, діагностика та усунення помилок, пов’язаних з додатками. Вимоги:1,5+ року досвіду в Odoo розробці;Знання Python, XML, HTML та CSS;Знання в процесах розробки додатків;Розуміння комплексних середовищ;Досвід роботи з гнучкими методологіями розробки програмного забезпечення;Гарні комунікативні навички;Рівень володіння письмовою та розмовною англійською мовою — принаймні Upper-Intermediate. Буде плюсом:Знання JavaScript;Рівень володіння розмовною французькою мовою — принаймні Upper-Intermediate.IT Craft пропонує:Конкурентну оплату відповідно до кваліфікації;Гнучкий графік, дистанційну роботу;Можливість кар’єрного росту;Компенсацію для занять спортом;Внутрішнє навчання з англійської мови;Дружню команду відкритих людей.Надішліть, будь ласка, своє резюме.IT Craft invites an Odoo developer to join our team. We are looking for a self-driven, fast-learning and reliable person to work with the amazing team of skilled specialists.Responsibilities:Design and develop integrated Odoo application using proper convention and design standards;Develop custom solutions for our client;Analyze, diagnose and resolve errors related to the applications.Requirements:At least 1,5 years of experience in Odoo development;Proficient in Python, XML, HTML, and CSS;Knowledge in application development processes;Understanding of complex environments;Experience with Agile software development methodologies;Strong communication skills;At least an Upper-Intermediate level of spoken and written English.Will be a plus:Knowledge of JavaScript;At least an Upper-Intermediate level of spoken French.IT Craft offers:Competitive compensation according to the qualifications;Flexible working hours, remote work;Opportunity for career growth;The reward for sport activities;In-house English training;A friendly team of open-minded people.Please send your CV.",віддалено
Middle Python/ML Engineer,https://jobs.dou.ua/companies/impressit/vacancies/273284/,"Impressit is looking for a Middle Python Engineer with ML knowledge to join our team. You will be working on developing an AI agent that provides exceptional customer support by utilizing text, audio, and video models to analyze user emails and respond effectively.What do we expect? — Proficiency in Python programming language.— Strong understanding of AWS services, including Lambda, RDS, DynamoDB, EventBridge, and SQS.— Experience in designing and developing RESTful APIs.— Experience in developing and fine-tuning Large Language Models (LLMs) or Computer Vision (CV) models.— Experience with Langchain, LangGraph, Pinecone, and OpenAI API.— Familiarity with prompt engineering techniques.— Upper-intermediate or higher level of English.What will you do? — Develop and maintain an AI agent capable of providing customer support through text, audio, and video analysis.— Implement and manage cloud-based solutions using AWS Lambda, RDS, DynamoDB, EventBridge, and SQS.— Design and develop RESTful APIs to facilitate communication between different system components.— Utilize and fine-tune Large Language Models (LLMs) and Computer Vision (CV) models to improve customer interaction and support quality.— Integrate and manage various components of the tech stack, including Python, Langchain, LangGraph, Pinecone, and OpenAI API.— Engage in prompt engineering to ensure high-quality and contextually relevant AI responses.— Collaborate with cross-functional teams to define, design, and ship new features.— Continuously discover, evaluate, and implement new technologies to maximize development efficiency.What about our benefits? — Generous vacation time: 24 days per year;— Professional education and training budget;— Full tax compensation;— WOW team-building events;— Office in the Lviv city center;— Paid sick leaves;We are waiting for you to join our WOW team!",Львів
Senior Backend developer (Python/Web scraping expert),https://jobs.dou.ua/companies/ivy-tech/vacancies/266086/,"WE ARE HIRING Senior Backend developer (Python/Web scraping expert) Employer/Client HealthTech Scaleup (US headquarters)Location Ukraine/Europe, RemoteWork experience 5+ years of commercial experienceType of employment Full-time, long term What is Ivy Tech? Ivy Tech is an international IT company that works with high-growth and innovative product companies. We started in Ukraine in 2016 and are now branching out to other European countries. Our clients are from the US, Europe, and Australia. All our developers are placed with the clients long term to build strong and lasting relationships, develop their careers, and build international networks. Ivy Tech’s management team is based in London, and the majority of our work is done in English. We value our people above all else and have created a kind, respectful and inclusive work culture. Who is our client? The client, based in New York (USA), is an exciting HealthTech Scaleups that offers the most comprehensive, accurate API data platform that is the infrastructure for a future where every patient care decision is convenient, cost-effective, and high-quality.Built to integrate seamlessly into existing healthcare workflows, it offers a reliable and straightforward way for providers, care navigators, health plans, and digital health solutions to develop and maintain accurate provider directories and competitive networks, simplify referral management, and ensure efficient care navigation — all in one platform.Their mission is to simplify healthcare. They provide healthcare enterprises with an API layer for accurate data on doctors, insurance plans, and costs & quality of care.You will have the opportunity to work closely with an international team, grow and develop as a person and a professional, as you contribute to the project. Candidate Must Have:Strong 5+ years of commercial experience as a Python/JS developer;Advanced English, written/spoken;Strong background in SQL and relational databases;Strong background in web crawling/scraping data from websites and experience using technology such as Scrapy, Selenium, BeautifulSoup and Playwright in the past;Experience working with EnCaptcha and Proxy services ;Ability to adapt to new technologies/frameworks quickly;Experience coming up with creative solutions to complex technical problems;Persistence and drive;Humility. Strong learning mentality. Be open to learning new things;History of communicating effectively with multiple stakeholders;Demonstrated attention to detail and effective use of written communication.Bonus Skills:Previous experience in the US Healthcare system; Experience with AWS;Experience with parsing data from PDFs; Experience utilizing Airflow.Responsibilities:You will be responsible for helping the team with data collection by aggregating data and building scrapers (one of the many ways we collect data);Will be working on solving problems with questions like “How do we get data from this website into a structured sort of data format?”;Design, develop, and maintain Python-based applications and tools to support our data platformRedesign exiting part of the data platform to make it more universal; Build and optimise data pipelines to ensure efficient data processing and analysis;Candidates are expected to test their collector and ensure its completeness through basic QA;The day to day will consist of developing and managing data scrapers, will develop new data scrapers that consume data from 100s of healthcare sources.What We Offer:Competitive salary based on experience and skills;The opportunity to work with a modern technology stack and build innovative products long-term (no bench time, no project switching!). Plenty of opportunities for learning and continued career growth;A great values-based company culture valuing general well-being;Flexible working: total remote;Social package which may include medical insurance;20 days of paid annual leave; up to 10 days of paid sick leave (including mental health days) per year;Opportunity to speak English daily;Corporate events, merchandise, perks, and general well-being; Laptop (Mac or Microsoft) and monitors for use;We are a company based on the values of Communication GroundednessProductivityCommitment Thank you for considering a career with us!",віддалено
Junior Python Engineer,https://jobs.dou.ua/companies/reface/vacancies/273253/,"Reface шукає Junior Python EngineerЯкщо хочеш розробляти Gen AI продукти, якими користуються мільйони юзерів по всьому світу — ми нетерпляче чекаємо на твоє резюме!Про нас: Reface — українська продуктова компанія, що створює мобільні АІ-застосунки.За 5 років наші продукти завантажили понад 250М разів. Були № 1 в USA App Store, отримали Google Play’s Best App та залучили інвестиції від Andreessen Horowitz.Ми — AI-оптимісти. Віримо, що AI змінить світ на краще. Або знищить людство 🫠 А поки цього не сталося, ми хочемо, щоб AI-інновації якнайшвидше потрапляли з наукових лабораторій в смартфони мільйонів людей.У нас комфортно працювати і божевільним вченим, і творчим людям. Досліджуємо вдумливо, тестуємо хутко, деліверимо швидко. Кайфуємо від цього.Про тебе: • знаєш Python: розумієш основні концепції програмування на Python• знаєш бібліотеки PyTorch, TensorFlow• маєш досвід роботи з git: вмієш використовувати Git для контролю версій; маєш досвід роботи з віддаленими репозиторіями• маєш досвід роботи з Docker: вмієш створювати та використовувати Docker-контейнери для розгортання ML-продуктів• маєш досвід роботи із streamlit і gradio: вмієш створювати інтерфейси для демонстрації ML-моделей за допомогою Streamlit та Gradio• розумієш принципи роботи дифузійних моделей: принципи та застосування дифузійних моделей.Буде плюсом, а може і не одним: • досвід роботи із ComfyUIТи будеш: • створювати унікальні пайплайни для ML продуктів, комбінуючи різноманітні ML моделі в одному сервісі • деплоїти ‘демо’ версії для внутрішнього використання та тестування• підтримувати та розвивати створені пайплайни, забезпечуючи їх стабільну роботу та покращення• досліджувати і тестувати нові ML моделі для наших продуктів.Вакансія тобі не підійде, якщо: • не в Києві: шукаємо людину, яка готова ходити в наш офіс мрії на Контрактовій, принаймні двічі-тричі на тиждень• не готовий/-ва до швидкого та динамічного темпуТвоя майбутня команда: • займається розробкою фанових та утилітарних юзкейсів, що базуються на сучасних інструментах штучного інтелекту• основні задачі надходитимуть від наших контент-креаторів, також активно працюватимеш під менторством досвідчених розробників• тут, у Reface, особливий вайб, що надає сил челенджити себе. Неможливо пояснити, але ми спробували.Процес:✔️ тестове завдання → ✔️ технічне інтервʼю → ✔️ фінальне інтервʼю → ✔️ офферЗнайомся з нами: website: більше про компанію та наші продуктиInstagram: залаштунки життя RefaciansНе вагайся — надсилай резюме!",Київ
Senior Python (Django) Engineer,https://jobs.dou.ua/companies/enkonix/vacancies/273158/,"OverviewWe are Django Contributors and passionate about what we are creating. We are looking for an experienced Senior Python (Django) Engineer who is passionate about the best user experience and has a track record of building high-quality web applications. Requirements:4-5+ years in Python web development using Django, Celery, Redis.Strong knowledge of Plain SQL, database design, and optimization (PostgreSQL).Experience in unit and integration testingHands-on experience with AWS, Azure, Google Cloud, or any other cloud servicesWorking experience with Continuous Integration and DeploymentExperience with LinuxAbility to understand and articulate business requirements and technical challengesIn-depth understanding of web application architecture and eagerness to learn new technologies and frameworksWill be a plus:Experience with Django Channels or Aiohttp-like async framework Enkonix conditions and benefits:5-day working week from Monday to FridayOffice in Lisbon, 4 days a week in office, Wednesday — remoteAn 8-hour working day which starts at 9:00 (Portugal time)Compensation for payment of income tax in the amount of 5%Relocate package after probation (2 months)Paid vacation — 18 working days per yearPaid unlimited sick leavesPerformance review twice a year with goals check every 2 monthsPersonal MacBook for work or BYOD compensationPartial English, sports, and education reimbursementCareer development, knowledge sharing, and training opportunitiesSupport with personal projects and opportunities to take on new roles & responsibilities Responsibilities:Take project ideas from design to implementationWrite efficient and reusable code and build high-quality robust features in close collaboration with the project teamDevelop technical solutions that are highly scalable and secure, but easy to maintainParticipate with other developers in occasional brain-storming and decision-making meetingsProvide all necessary tasks important for the project configuration/setup/debug etcImplement continuous deployment to a real (customer) environment",Лісабон (Португалія)
